wave,flux,sig
3663.8635373558186,44787.515625,5768.11767578125
3665.390318135099,44175.98046875,5923.59033203125
3666.9173670955424,47091.9921875,5935.01220703125
3668.4442397051785,59379.05859375,6291.38623046875
3669.971261041727,46641.015625,5727.68603515625
3671.4981706040435,53883.375,6123.9248046875
3673.0252469189445,58625.91015625,6224.0048828125
3674.5523840678275,56547.19921875,6184.87109375
3676.079461863764,50250.02734375,5932.85302734375
3677.6063772461985,52527.41015625,5878.341796875
3679.1335759701524,50518.51953125,5870.37353515625
3680.6606892920295,49857.69140625,5789.79345703125
3682.187766536278,57243.20703125,6171.0830078125
3683.715236387591,61075.75390625,6171.02685546875
3685.242324632981,58492.2265625,6109.7529296875
3686.769777949698,45400.671875,5763.02001953125
3688.296697802208,46848.32421875,5698.9638671875
3689.8238141226584,59790.9140625,6008.755859375
3691.3513825928235,54469.3828125,5792.05615234375
3692.8786972906346,46948.45703125,5507.76416015625
3694.405812438612,60907.3671875,6044.69921875
3695.933146526344,44141.91796875,5351.72216796875
3697.4607551292343,42419.65625,5335.96875
3698.9878358600445,45408.3203125,5451.8359375
3700.5154030722283,46579.79296875,5381.712890625
3702.0427509831975,55357.828125,5696.65478515625
3703.570331152911,51885.87890625,5476.4384765625
3705.097784463325,39492.22265625,5034.162109375
3706.6250802810023,53004.7421875,5582.89404296875
3708.1528396518115,37272.6328125,4914.37548828125
3709.6799360568334,37668.2265625,4924.20703125
3711.2076945102185,42679.3125,4972.20947265625
3712.735462820315,48631.2578125,5173.734375
3714.2627468897977,42196.4140625,4934.287109375
3715.790637050572,50061.14453125,5199.63818359375
3717.3179923682283,45974.58984375,4998.88232421875
3718.8458088161415,39542.90625,4644.03369140625
3720.373398058598,42264.84765625,4826.27783203125
3721.901022744206,48899.03125,4965.603515625
3723.4288386463536,39428.23046875,4604.3193359375
3724.956273725092,47633.26953125,4960.58642578125
3726.48428704043,48012.3125,4886.77099609375
3728.012419731558,61686.1015625,5240.57421875
3729.5398403216927,67776.6015625,5435.11767578125
3731.0676842466546,71092.46875,5480.91015625
3732.5956677914855,64574.8515625,5336.1044921875
3734.123392736594,58891.73046875,5258.77978515625
3735.6512942583818,50088.26171875,4795.00244140625
3737.17896823327,47505.4609375,4769.7578125
3738.7071072089507,42596.421875,4573.0869140625
3740.2350333344625,47315.99609375,4791.8603515625
3741.7628731684113,45274.1875,4716.0634765625
3743.2908677280625,48397.703125,4775.80859375
3744.818606747601,54391.21484375,4890.58544921875
3746.3472057945423,45123.33203125,4631.89208984375
3747.8746875696293,43829.44921875,4525.81689453125
3749.402495183673,51752.91796875,4729.9833984375
3750.9312080265063,51714.734375,4692.74951171875
3752.459309748149,37597.40234375,4261.36669921875
3753.987115868227,41393.97265625,4428.4375
3755.5155195561497,38501.56640625,4247.37890625
3757.043221046706,45681.06640625,4512.5341796875
3758.5715423377796,40005.26171875,4268.283203125
3760.099697383806,48139.796875,4555.564453125
3761.628092119122,39474.7734375,4369.8359375
3763.1558930375722,53235.90234375,4770.62451171875
3764.6840736267436,47217.81640625,4535.19287109375
3766.2124495768594,45314.0859375,4453.98291015625
3767.741003102427,42964.28515625,4288.83203125
3769.2690901177343,49434.40625,4682.28759765625
3770.7973656600875,51337.4453125,4614.591796875
3772.325603484208,47544.23828125,4574.1796875
3773.85422371663,46851.59765625,4520.96435546875
3775.3823995375824,44529.32421875,4392.23583984375
3776.9108866221595,47794.2421875,4600.45556640625
3778.439022293917,51123.4296875,4624.916015625
3779.9675954224394,47645.7578125,4525.369140625
3781.4964816936945,37718.109375,4239.60888671875
3783.024798101022,48476.7578125,4496.85009765625
3784.5533435574935,46743.7734375,4504.71875
3786.081776955281,58454.69140625,4803.46142578125
3787.6104153218325,54737.421875,4736.314453125
3789.139033768458,44512.8515625,4377.57763671875
3790.667556709777,49409.3125,4479.4296875
3792.196188136534,56897.203125,4759.828125
3793.724405934869,46675.5546875,4516.56982421875
3795.2532113977127,53358.43359375,4710.66552734375
3796.7819638734336,51096.109375,4557.46826171875
3798.310633876847,55552.234375,4720.60595703125
3799.8393299611507,58907.20703125,4820.59423828125
3801.368210683786,58172.890625,4772.65283203125
3802.8967144499975,54703.0234375,4751.21728515625
3804.4256321417392,55307.9453125,4675.91845703125
3805.9542163905157,54882.03515625,4729.1279296875
3807.483016138899,57605.58984375,4777.0693359375
3809.012135313648,57034.41796875,4765.5595703125
3810.5408471079,53330.37109375,4686.2138671875
3812.070084238209,55734.58203125,4759.404296875
3813.5987288341516,57914.2734375,4744.3447265625
3815.1277467728414,51889.9921875,4630.50048828125
3816.6564172674075,58759.16796875,4869.3935546875
3818.185488694045,51198.22265625,4548.08984375
3819.7142786345375,57832.26953125,4696.74072265625
3821.2433937331707,50264.671875,4529.71533203125
3822.7725751567386,58056.2109375,4741.39794921875
3824.3012638741325,59646.71875,4771.0068359375
3825.8302322108343,50174.8515625,4484.2294921875
3827.359469716951,55552.47265625,4627.15869140625
3828.8884563517613,59432.9765625,4731.40283203125
3830.417841224302,59872.11328125,4767.83837890625
3831.9466360727174,57627.75390625,4715.50146484375
3833.476070834714,63345.484375,4846.43310546875
3835.0052949188907,71135.71875,4951.04833984375
3836.534325073232,66508.0,4885.90234375
3838.0636090854077,68182.546875,4840.12646484375
3839.5929008466587,71092.9453125,4947.83837890625
3841.121847197665,65386.71484375,4861.41015625
3842.6512389107484,60427.76171875,4671.185546875
3844.18023397524,56890.4609375,4588.01806640625
3845.70970068222,62088.703125,4679.04736328125
3847.238769460471,54348.72265625,4431.9248046875
3848.768496413024,56463.19921875,4529.5009765625
3850.2979307521587,66862.3515625,4780.81494140625
3851.827327342228,60763.08203125,4568.0380859375
3853.356596172464,59648.3203125,4508.7998046875
3854.8860980780264,65922.75,4723.212890625
3856.4157957361645,69771.6015625,4786.43115234375
3857.9451653566953,65283.88671875,4647.09326171875
3859.474478762841,64828.65234375,4673.20458984375
3861.0040939820133,56706.421875,4412.3486328125
3862.5336728704997,59769.67578125,4467.6767578125
3864.0633258667353,56525.96875,4353.18603515625
3865.592563766529,59504.2578125,4481.6650390625
3867.1224308595324,55213.46875,4280.0693359375
3868.652186416823,53550.82421875,4222.9873046875
3870.1818601683453,60801.31640625,4421.52099609375
3871.7114936307617,52976.5390625,4150.7265625
3873.2411743542993,58873.0,4389.50634765625
3874.7705952642873,53201.45703125,4164.2529296875
3876.300008233247,54422.296875,4179.86083984375
3877.8302513363315,53003.9375,4180.875
3879.3600999690825,53658.609375,4127.31591796875
3880.889798187705,64017.3984375,4395.26611328125
3882.419144762666,55153.1171875,4141.28173828125
3883.94947786742,59165.10546875,4255.4892578125
3885.479662160884,57238.84375,4182.5
3887.0095869023085,54470.48828125,4084.066650390625
3888.538727464789,56096.61328125,4151.8740234375
3890.0688563287595,59311.390625,4183.05615234375
3891.598839893283,70978.578125,4504.01171875
3893.128906313097,78187.5625,4613.0
3894.658827200435,66693.9921875,4416.763671875
3896.1887773963517,60721.25390625,4186.673828125
3897.718504902437,45548.88671875,3862.76220703125
3899.2490729251617,51263.6953125,3984.73388671875
3900.77873230449,54084.67578125,4034.03076171875
3902.308621056877,54018.10546875,3960.4443359375
3903.839034554134,51490.93359375,3919.408447265625
3905.369005423926,53770.54296875,4002.559326171875
3906.899179752633,62414.12109375,4259.814453125
3908.429269780956,54366.5,4009.956298828125
3909.9597445320983,51923.4765625,3906.568603515625
3911.490307006341,53120.14453125,3862.874267578125
3913.019878554967,49387.6171875,3904.79296875
3914.5502843589143,54510.6953125,3968.0361328125
3916.08044650129,48820.1953125,3801.723876953125
3917.6110708021242,53966.26171875,3922.21435546875
3919.1412361744487,62848.14453125,4130.755859375
3920.671337801589,70897.5859375,4347.25927734375
3922.20193644812,88981.9765625,4751.32275390625
3923.7320356213745,101765.4140625,4968.03125
3925.2626481338207,81904.0,4611.9111328125
3926.7927890924184,61445.37109375,4086.05615234375
3928.3232182104134,65855.6171875,4161.65283203125
3929.854154933078,52076.9609375,3819.23193359375
3931.384550978427,55496.859375,3859.19287109375
3932.9152452160165,54972.6484375,3867.59521484375
3934.44562866076,56985.84375,3894.154052734375
3935.9759678594214,52234.99609375,3807.11669921875
3937.506614895274,47145.68359375,3637.610107421875
3939.03712597158,51627.47265625,3780.360107421875
3940.5678456257738,50191.9140625,3733.11669921875
3942.0982491774553,52953.125,3825.02490234375
3943.628677627202,53204.078125,3864.888916015625
3945.160034769083,45922.484375,3622.697998046875
3946.690195297192,60210.30078125,4036.455078125
3948.220968017657,50391.50390625,3765.953125
3949.751436894847,56216.23828125,3910.750244140625
3951.2823596084604,53976.265625,3831.837890625
3952.8136341485647,54457.27734375,3833.257568359375
3954.3440826795127,55031.16015625,3768.30126953125
3955.8750549917595,54409.0625,3767.649169921875
3957.4057715311387,51430.18359375,3693.421875
3958.93635742122,49917.8046875,3689.5517578125
3960.4672638005513,52004.29296875,3729.444091796875
3961.998149949738,55707.6015625,3847.9091796875
3963.528983727741,52374.23828125,3715.273681640625
3965.0603249127976,49726.6640625,3619.62353515625
3966.59115079863,48580.125,3623.894775390625
3968.121726344336,50110.9375,3638.576904296875
3969.652741526237,48790.37890625,3628.638671875
3971.1838381504303,53382.15625,3783.3837890625
3972.715034221433,59284.40625,3885.73583984375
3974.2458027496127,50124.2578125,3650.718994140625
3975.7773001705073,56442.76953125,3809.909912109375
3977.3084932536553,50811.90625,3674.760009765625
3978.83943684774,59166.6015625,3915.385009765625
3980.370693588593,57263.52734375,3893.0556640625
3981.9016380745015,68372.0703125,4129.03076171875
3983.432987691212,61741.41015625,3997.7890625
3984.96409049784,56920.98046875,3858.29345703125
3986.4951764872844,52764.421875,3746.490478515625
3988.026819746135,53786.30859375,3769.5693359375
3989.557552621748,60321.12890625,3935.407470703125
3991.0890244912985,56881.5703125,3793.471923828125
3992.62075480709,50385.96875,3668.54736328125
3994.151959907084,58829.79296875,3890.95556640625
3995.683278959892,52852.62109375,3696.97509765625
3997.21449692103,54557.390625,3700.011474609375
3998.746267905173,49378.05078125,3587.518798828125
4000.277399121103,55389.859375,3766.217529296875
4001.8088531068624,58753.12109375,3798.77001953125
4003.340402984235,53935.51953125,3723.06201171875
4004.871568011194,52337.65625,3678.535888671875
4006.4034806715463,61270.24609375,3890.093017578125
4007.9349401153927,58966.09375,3878.490234375
4009.466249603619,57864.5390625,3800.5791015625
4010.9978583336124,57581.25,3860.140625
4012.5294458503868,51007.421875,3666.375244140625
4014.0610806848313,51781.73828125,3709.759521484375
4015.592973755002,50308.0078125,3630.602783203125
4017.1243969248158,58043.58984375,3840.35791015625
4018.656052136384,59098.2265625,3839.76806640625
4020.1878932296286,55018.3125,3745.22265625
4021.719782941406,54457.46875,3738.70361328125
4023.2515075607075,59635.62109375,3861.912109375
4024.7829507064184,51647.8203125,3651.759521484375
4026.314866416601,58930.60546875,3823.1689453125
4027.8464421555464,52252.3984375,3672.57470703125
4029.378246937611,60094.62890625,3841.66064453125
4030.9099317384103,61427.02734375,3897.179443359375
4032.441789228325,62787.484375,3908.84423828125
4033.9742581865985,49391.16796875,3598.312255859375
4035.505807012698,56356.75390625,3777.601806640625
4037.0377942049686,43929.34375,3435.22119140625
4038.570080102198,56931.45703125,3778.4453125
4040.101731907355,55277.1484375,3733.03515625
4041.6338078043977,53452.34765625,3711.303466796875
4043.165723482993,49369.515625,3571.155517578125
4044.697815595073,56891.4296875,3770.784912109375
4046.2303963676595,52762.26953125,3720.45654296875
4047.762080029041,58130.4609375,3793.33984375
4049.29400921288,55551.9140625,3736.51123046875
4050.8264079974997,54347.6953125,3732.440673828125
4052.358430898436,55524.12109375,3709.17333984375
4053.890486069913,52473.96484375,3659.516357421875
4055.4228396786903,57699.0859375,3777.8427734375
4056.954827798789,57686.96484375,3786.36181640625
4058.487635042801,58255.390625,3783.057861328125
4060.019375032992,60505.08203125,3854.692138671875
4061.5520508939544,61829.55078125,3878.544677734375
4063.084402546135,54805.05859375,3695.505126953125
4064.616468641592,54277.05859375,3656.36279296875
4066.148752650479,58598.34765625,3743.2451171875
4067.681042118984,59708.375,3773.491455078125
4069.213809508867,63020.31640625,3851.094970703125
4070.7460567193993,54586.21875,3617.39208984375
4072.278555596299,54215.7734375,3651.91162109375
4073.8109073517885,53037.515625,3564.854736328125
4075.3431822135108,53317.6796875,3629.21728515625
4076.875868572974,57991.27734375,3739.13037109375
4078.4079466355756,62259.375,3767.067138671875
4079.940846667833,64700.046875,3857.82568359375
4081.4731969740387,62604.4921875,3799.14990234375
4083.0060044423794,55704.26953125,3651.88232421875
4084.538714888885,61257.26953125,3786.719482421875
4086.0711599660513,56301.21875,3618.088623046875
4087.603876328239,54584.43359375,3607.768310546875
4089.136733423996,58631.421875,3679.754150390625
4090.6693608914456,53189.71484375,3547.656005859375
4092.201517114712,58322.2421875,3677.128662109375
4093.735024683734,57281.5859375,3625.148681640625
4095.2672649181604,54461.8125,3566.998291015625
4096.800222535913,54023.9296875,3549.34228515625
4098.332870897664,60198.93359375,3710.673583984375
4099.865774394731,51964.96875,3410.773681640625
4101.398255626144,50586.5859375,3424.46630859375
4102.931574555091,55046.32421875,3511.131591796875
4104.464675095819,56704.1953125,3570.168212890625
4105.997175637098,59023.69140625,3642.286865234375
4107.529838415655,53908.62109375,3487.885009765625
4109.063217777774,60318.390625,3662.239013671875
4110.596213170332,55938.40234375,3513.07666015625
4112.129302097422,55219.23046875,3499.55615234375
4113.662458254048,52365.8125,3432.212158203125
4115.195026861787,59443.3515625,3576.51220703125
4116.728273247059,55517.34375,3478.0615234375
4118.261598727902,54740.15234375,3440.02734375
4119.7946773635895,57689.171875,3555.8603515625
4121.327470596379,51598.41796875,3352.527587890625
4122.860604601669,57165.48046875,3557.908935546875
4124.393890061488,57025.00390625,3506.63037109375
4125.92680804556,57446.19921875,3523.98876953125
4127.4602974098725,47651.9921875,3277.489990234375
4128.99403890016,61554.78515625,3589.809326171875
4130.526757632438,57966.2734375,3515.64306640625
4132.06056300573,62658.9609375,3608.40576171875
4133.593036454213,58338.94140625,3533.539306640625
4135.126974179429,55684.46875,3446.806396484375
4136.660307097512,56421.22265625,3437.371826171875
4138.193561321489,56706.12109375,3469.70263671875
4139.727045820645,53096.1328125,3379.085693359375
4141.260113288061,46883.6640625,3209.33349609375
4142.793518357776,50348.0625,3296.642333984375
4144.327113796294,55078.71484375,3408.7958984375
4145.860923525097,54544.20703125,3390.945556640625
4147.394426486275,47706.25,3211.744384765625
4148.927863163543,51807.453125,3306.51611328125
4150.461357382147,51989.6640625,3315.1005859375
4151.994865615329,52225.12890625,3285.802490234375
4153.528700107543,52074.27734375,3289.957275390625
4155.062158222519,55557.140625,3386.6650390625
4156.59573941271,54316.7265625,3351.24462890625
4158.129299039187,54365.0234375,3348.98291015625
4159.662707825177,56377.640625,3402.211669921875
4161.196462299464,57339.703125,3399.5107421875
4162.730314038884,54082.96484375,3304.416748046875
4164.264129680408,53972.296875,3318.560791015625
4165.797951828873,53549.609375,3350.599609375
4167.331845707939,51897.671875,3286.5087890625
4168.865321952764,55682.58984375,3395.9912109375
4170.399251735242,56081.9296875,3423.6484375
4171.933359883276,57638.640625,3405.907958984375
4173.467015647004,53975.8125,3364.18994140625
4175.001007075419,54836.5859375,3377.14208984375
4176.535240295098,53688.81640625,3297.687255859375
4178.06855624237,54625.8828125,3376.89111328125
4179.602797006063,54740.32421875,3322.69970703125
4181.137050761417,52332.55078125,3280.944091796875
4182.671315548437,59394.85546875,3434.138671875
4184.205033612589,54240.62109375,3323.73193359375
4185.73897832019,56624.9765625,3389.71337890625
4187.273027416705,51181.39453125,3243.924072265625
4188.807326095189,49596.18359375,3211.46435546875
4190.341475362568,58402.99609375,3442.421142578125
4191.875171498692,52925.10546875,3272.150390625
4193.409467116831,59417.3359375,3449.97314453125
4194.943764535975,55062.0390625,3359.40380859375
4196.477758695919,60315.4296875,3485.34716796875
4198.012196493906,58997.5625,3422.93408203125
4199.546415315153,54703.46875,3359.759033203125
4201.080768981723,53414.76953125,3311.405517578125
4202.6150244729115,59622.73828125,3451.69873046875
4204.149480154088,50753.78125,3223.3173828125
4205.6836286034795,60256.42578125,3502.2109375
4207.217840452765,58712.984375,3468.20166015625
4208.752336816169,53750.28515625,3347.87744140625
4210.287015399605,58329.1953125,3430.561279296875
4211.821455043937,51131.9296875,3268.334716796875
4213.3557875719225,61645.76171875,3511.230712890625
4214.890023470554,60676.859375,3497.509521484375
4216.424781250781,56071.23828125,3373.08154296875
4217.959875827346,50773.7890625,3278.513671875
4219.494078147785,56359.96875,3366.552978515625
4221.027902918904,51067.26953125,3274.38720703125
4222.563045829564,51257.953125,3292.12744140625
4224.0973618935195,48491.328125,3197.095458984375
4225.632203938471,52543.84765625,3264.9384765625
4227.166890433029,49586.16015625,3223.7431640625
4228.701569003882,50447.8203125,3233.549072265625
4230.236321508516,52856.17578125,3274.964599609375
4231.770820078221,56466.88671875,3378.812744140625
4233.30537628915,49653.4765625,3193.43603515625
4234.8406246222485,56389.015625,3351.9453125
4236.375460300727,53825.84765625,3304.534423828125
4237.910279064487,53376.31640625,3279.87744140625
4239.445120274659,56887.875,3368.627685546875
4240.979784083403,55021.28515625,3349.558349609375
4242.514309198573,53336.6484375,3275.444580078125
4244.049670533901,56791.48046875,3345.47412109375
4245.584733265318,53700.62890625,3272.3798828125
4247.119271051465,54428.765625,3280.111572265625
4248.654286561423,56724.765625,3339.9814453125
4250.189333068755,59962.7734375,3396.55029296875
4251.724328667193,52211.1953125,3210.967529296875
4253.259207618167,53666.42578125,3258.506103515625
4254.794268252249,58287.85546875,3337.922119140625
4256.329430820169,54638.75390625,3271.987060546875
4257.864460253669,52520.45703125,3220.76953125
4259.399634226505,58559.96875,3339.740966796875
4260.935051455968,59296.5390625,3365.73974609375
4262.470651888167,53576.6328125,3210.59716796875
4264.005021574181,66417.359375,3500.813232421875
4265.540352628838,64512.16015625,3458.98681640625
4267.075939379626,68998.6796875,3547.4912109375
4268.610881663299,85549.4375,3856.87451171875
4270.1464050884415,106373.5390625,4189.56298828125
4271.681409338654,119859.796875,4451.57373046875
4273.216867597493,99145.09375,4061.287841796875
4274.752115241734,76720.5859375,3663.550537109375
4276.287098126183,55962.61328125,3208.874755859375
4277.822897614548,57157.5234375,3244.455322265625
4279.35849163591,52325.1171875,3148.012939453125
4280.893875070795,56721.9609375,3220.167236328125
4282.4293147537155,54525.86328125,3149.455322265625
4283.964940387858,51150.2734375,3083.609375
4285.500739429719,54106.4921875,3152.354736328125
4287.036290695672,55860.28515625,3164.89697265625
4288.571707605836,55303.95703125,3203.32666015625
4290.106691505373,53257.19140625,3150.3603515625
4291.642630205051,56469.59375,3196.1484375
4293.178554444284,54462.5625,3126.0517578125
4294.714003532814,63069.71875,3326.506103515625
4296.24981298137,60505.6640625,3256.218505859375
4297.7851514776985,52676.77734375,3085.0419921875
4299.320799984049,53402.4375,3110.685546875
4300.856760514311,48907.25,2974.46630859375
4302.392390569947,59119.41796875,3220.01904296875
4303.928367829088,56282.05078125,3135.49365234375
4305.464363483204,56641.13671875,3154.474365234375
4307.000217607165,50484.8359375,2985.23291015625
4308.536080409357,54894.625,3109.239501953125
4310.071561052801,54453.21484375,3103.803466796875
4311.607436526838,61698.0234375,3233.60009765625
4313.14331222192,50831.41015625,2986.730224609375
4314.679351378219,54002.62109375,3062.518310546875
4316.215250386193,55788.53515625,3096.90380859375
4317.751161414695,50626.7890625,2998.4912109375
4319.2872650772215,46007.84765625,2851.02880859375
4320.823498709553,53768.4453125,3046.834228515625
4322.359224692584,54492.2421875,3048.728759765625
4323.89555715496,48908.69921875,2925.00634765625
4325.431742098835,52609.0234375,3024.669677734375
4326.967596160946,53487.55078125,3010.536376953125
4328.503945288527,53833.25390625,3025.04345703125
4330.040452420581,55037.453125,3035.35888671875
4331.576745890188,58271.8359375,3106.856689453125
4333.112549121969,50409.12890625,2916.09619140625
4334.648764148845,55510.26953125,3017.284912109375
4336.1852071532985,53101.4296875,2964.735595703125
4337.721698923088,50131.296875,2914.570068359375
4339.257716722271,54414.15234375,2973.275146484375
4340.794222954395,49156.4765625,2859.234375
4342.330212366596,54343.1640625,2983.131103515625
4343.866344684099,59143.96484375,3068.93603515625
4345.4032237367655,55633.31640625,2998.572998046875
4346.939774897,48707.23046875,2838.03759765625
4348.476456298544,44500.51953125,2707.423828125
4350.012293373141,40987.90625,2641.427734375
4351.548417234316,44415.74609375,2710.861328125
4353.085456867041,42333.90625,2665.53662109375
4354.621695293457,41500.4765625,2622.917724609375
4356.158644466179,45741.09375,2743.857666015625
4357.695592583669,50591.4765625,2848.349853515625
4359.232135191294,52358.20703125,2896.50439453125
4360.768039875442,47234.54296875,2772.550048828125
4362.305082802844,50186.2109375,2843.354736328125
4363.842006972539,48167.39453125,2763.88916015625
4365.378473520019,55248.203125,2936.67333984375
4366.915108272523,48501.05078125,2787.148193359375
4368.451842781153,50295.30859375,2819.496826171875
4369.989090545621,49661.44140625,2804.592041015625
4371.525380079575,45937.66015625,2723.964111328125
4373.062444292357,55938.53125,2935.0126953125
4374.599332551746,53444.0703125,2881.013916015625
4376.135858327999,60956.23828125,3040.9306640625
4377.672847857065,60011.75390625,3005.653564453125
4379.209990559182,56699.5859375,2936.177734375
4380.746689647045,55125.71875,2916.2822265625
4382.283853841209,48746.421875,2768.1923828125
4383.820819606657,45474.66796875,2686.100830078125
4385.357707802305,51916.1484375,2842.99365234375
4386.894635443554,47304.84765625,2719.121337890625
4388.431475933776,49037.4453125,2782.574462890625
4389.968625553304,52382.015625,2833.02734375
4391.505798867388,45452.7734375,2674.99365234375
4393.04298095393,47577.640625,2723.15234375
4394.580505078418,44416.76171875,2642.6416015625
4396.117256896644,44471.921875,2633.61279296875
4397.654558094027,46632.93359375,2677.094482421875
4399.1918614915885,44260.84765625,2607.587158203125
4400.7289315833705,46480.36328125,2690.119384765625
4402.266436487562,47835.578125,2721.701904296875
4403.803568377102,50547.13671875,2788.482421875
4405.341103163323,49021.1484375,2745.71728515625
4406.877977330421,50899.98828125,2805.70458984375
4408.415464147783,51147.08203125,2800.155029296875
4409.9529350795765,47340.2109375,2711.474609375
4411.489912825186,47637.54296875,2736.597412109375
4413.027329248885,52443.7890625,2833.726318359375
4414.564961128794,56918.33984375,2925.775390625
